runs	id	datetime	bid	ask
9	8	2022-03-04 22:03:03.544043	126.265	126.27
9	9	2022-03-04 22:03:13.541820	126.256	126.261
9	10	2022-03-04 22:03:23.533794	126.255	126.26
9	11	2022-03-04 22:03:33.503536	126.266	126.271
9	12	2022-03-04 22:03:43.531509	126.264	126.269
9	13	2022-03-04 22:03:53.525645	126.273	126.278
9	14	2022-03-04 22:04:03.478004	126.275	126.28
9	15	2022-03-04 22:04:13.488238	126.282	126.287
9	16	2022-03-04 22:04:23.518359	126.277	126.282
9	17	2022-03-04 22:04:33.524510	126.276	126.281
9	18	2022-03-04 22:04:43.462374	126.276	126.281
10	1	2022-03-04 22:06:55.433176	126.286	126.291
10	2	2022-03-04 22:07:05.503533	126.28	126.285
10	3	2022-03-04 22:07:15.452445	126.277	126.282
10	4	2022-03-04 22:07:25.499225	126.269	126.274
10	5	2022-03-04 22:07:35.400754	126.273	126.278
10	6	2022-03-04 22:07:45.431027	126.277	126.282
10	7	2022-03-04 22:07:55.489871	126.266	126.271
10	8	2022-03-04 22:08:05.473821	126.255	126.26
10	9	2022-03-04 22:08:15.430235	126.26	126.265
10	10	2022-03-04 22:08:25.469110	126.264	126.269
10	11	2022-03-04 22:08:35.401260	126.263	126.268
10	12	2022-03-04 22:08:45.443258	126.26	126.265
10	13	2022-03-04 22:08:55.382590	126.258	126.263
10	14	2022-03-04 22:09:05.391991	126.24	126.245
10	15	2022-03-04 22:09:15.339536	126.238	126.243
11	1	2022-03-04 22:17:45.882470	126.179	126.184
11	2	2022-03-04 22:17:55.881878	126.173	126.178
11	3	2022-03-04 22:18:05.881310	126.18	126.185
11	4	2022-03-04 22:18:15.846315	126.179	126.184
11	5	2022-03-04 22:18:25.891471	126.183	126.188
11	6	2022-03-04 22:18:35.885836	126.178	126.183
11	7	2022-03-04 22:18:45.877477	126.181	126.186
11	8	2022-03-04 22:18:55.906313	126.175	126.18
11	9	2022-03-04 22:19:05.838737	126.165	126.17
11	10	2022-03-04 22:19:15.876305	126.176	126.181
11	11	2022-03-04 22:19:25.992491	126.162	126.167
11	12	2022-03-04 22:19:35.865496	126.171	126.176
11	13	2022-03-04 22:19:45.884960	126.154	126.159
11	14	2022-03-04 22:19:55.918675	126.164	126.169
11	15	2022-03-04 22:20:05.881098	126.152	126.157
11	16	2022-03-04 22:20:15.828021	126.16	126.165
11	17	2022-03-04 22:20:25.873226	126.169	126.174
11	18	2022-03-04 22:20:35.785052	126.17	126.175
11	19	2022-03-04 22:20:45.912051	126.169	126.174
11	20	2022-03-04 22:20:55.903802	126.181	126.186
11	21	2022-03-04 22:21:05.925532	126.186	126.191
12	1	2022-03-04 22:22:15.872114	126.191	126.196
12	2	2022-03-04 22:22:25.813690	126.179	126.184
12	3	2022-03-04 22:22:35.884835	126.176	126.181
12	4	2022-03-04 22:22:45.878589	126.155	126.16
12	5	2022-03-04 22:22:55.869076	126.153	126.158
12	6	2022-03-04 22:23:05.850416	126.152	126.157
12	7	2022-03-04 22:23:15.843705	126.153	126.158
12	8	2022-03-04 22:23:25.865626	126.157	126.162
12	9	2022-03-04 22:23:36.063587	126.156	126.161
12	10	2022-03-04 22:23:45.825392	126.152	126.157
12	11	2022-03-04 22:23:55.878604	126.15	126.155
12	12	2022-03-04 22:24:05.884322	126.152	126.157
12	13	2022-03-04 22:24:15.892849	126.153	126.16
12	14	2022-03-04 22:24:25.750503	126.157	126.162
12	15	2022-03-04 22:24:35.890464	126.154	126.159
12	16	2022-03-04 22:24:45.947387	126.132	126.137
12	17	2022-03-04 22:24:55.942074	126.128	126.133
12	18	2022-03-04 22:25:06.074016	126.125	126.13
12	19	2022-03-04 22:25:15.864515	126.137	126.142
12	20	2022-03-04 22:25:26.041986	126.144	126.149
12	21	2022-03-04 22:25:35.948450	126.152	126.157
12	22	2022-03-04 22:25:45.887483	126.141	126.146
12	23	2022-03-04 22:25:55.899618	126.141	126.146
12	24	2022-03-04 22:26:05.765982	126.121	126.126
12	25	2022-03-04 22:26:15.884763	126.122	126.127
12	26	2022-03-04 22:26:25.951590	126.138	126.143
12	27	2022-03-04 22:26:35.886911	126.123	126.128
12	28	2022-03-04 22:26:45.872828	126.127	126.132
12	29	2022-03-04 22:26:55.773277	126.122	126.127
12	30	2022-03-04 22:27:05.900962	126.119	126.124
12	31	2022-03-04 22:27:15.903168	126.133	126.138
12	32	2022-03-04 22:27:25.846944	126.171	126.176
12	33	2022-03-04 22:27:35.895189	126.168	126.173
12	34	2022-03-04 22:27:45.822990	126.17	126.175
13	1	2022-03-04 22:28:48.819774	126.213	126.218
13	2	2022-03-04 22:28:58.863476	126.191	126.199
13	3	2022-03-04 22:29:08.800725	126.173	126.183
13	4	2022-03-04 22:29:18.819319	126.185	126.19
13	5	2022-03-04 22:29:28.851495	126.179	126.184
13	6	2022-03-04 22:29:38.772662	126.176	126.188
13	7	2022-03-04 22:29:48.829106	126.171	126.195
13	8	2022-03-04 22:29:58.809256	126.16	126.199
13	9	2022-03-04 22:30:08.838034	126.179	126.2
13	10	2022-03-04 22:30:18.817604	126.198	126.203
13	11	2022-03-04 22:30:28.811051	126.199	126.21
13	12	2022-03-04 22:30:38.876159	126.208	126.218
13	13	2022-03-04 22:30:48.906804	126.161	126.166
13	14	2022-03-04 22:30:58.827237	126.174	126.179
13	15	2022-03-04 22:31:08.926573	126.159	126.167
13	16	2022-03-04 22:31:18.885359	126.162	126.175
13	17	2022-03-04 22:31:28.807902	126.151	126.156
13	18	2022-03-04 22:31:38.853624	126.158	126.169
13	19	2022-03-04 22:31:48.781630	126.123	126.131
13	20	2022-03-04 22:31:58.914162	126.122	126.13
13	21	2022-03-04 22:32:08.826461	126.158	126.168
13	22	2022-03-04 22:32:18.810705	126.173	126.178
13	23	2022-03-04 22:32:28.860384	126.205	126.21
13	24	2022-03-04 22:32:38.864893	126.19	126.195
13	25	2022-03-04 22:32:48.877079	126.168	126.173
13	26	2022-03-04 22:32:58.936085	126.178	126.183
13	27	2022-03-04 22:33:08.905093	126.171	126.176
13	28	2022-03-04 22:33:18.845730	126.184	126.189
13	29	2022-03-04 22:33:28.852402	126.193	126.198
13	30	2022-03-04 22:33:38.826934	126.197	126.202
13	31	2022-03-04 22:33:48.881325	126.16	126.165
13	32	2022-03-04 22:33:58.789036	126.157	126.162
13	33	2022-03-04 22:34:08.800683	126.153	126.158
13	34	2022-03-04 22:34:18.880743	126.171	126.18
13	35	2022-03-04 22:34:28.902276	126.164	126.169
13	36	2022-03-04 22:34:38.772523	126.136	126.144
13	37	2022-03-04 22:34:48.963811	126.135	126.143
13	38	2022-03-04 22:34:58.908920	126.136	126.141
13	39	2022-03-04 22:35:08.949870	126.146	126.151
13	40	2022-03-04 22:35:18.890927	126.142	126.147
13	41	2022-03-04 22:35:28.831865	126.138	126.143
13	42	2022-03-04 22:35:38.878713	126.131	126.136
14	1	2022-03-04 23:03:59.352103	125.877	125.882
14	2	2022-03-04 23:04:09.367921	125.902	125.907
14	3	2022-03-04 23:04:19.294669	125.893	125.898
14	4	2022-03-04 23:04:29.399884	125.883	125.888
14	5	2022-03-04 23:04:39.366015	125.869	125.874
14	6	2022-03-04 23:04:49.320948	125.88	125.885
14	7	2022-03-04 23:04:59.468440	125.882	125.887
14	8	2022-03-04 23:05:09.505628	125.882	125.887
14	9	2022-03-04 23:05:19.543390	125.88	125.885
14	10	2022-03-04 23:05:29.428159	125.881	125.886
14	11	2022-03-04 23:05:39.437323	125.887	125.892
14	12	2022-03-04 23:05:49.383969	125.88	125.888
14	13	2022-03-04 23:05:59.247949	125.895	125.9
14	14	2022-03-04 23:06:09.280377	125.887	125.892
14	15	2022-03-04 23:06:19.322717	125.885	125.89
14	16	2022-03-04 23:06:29.351760	125.89	125.895
14	17	2022-03-04 23:06:39.273041	125.889	125.894
14	18	2022-03-04 23:06:49.317245	125.895	125.9
14	19	2022-03-04 23:06:59.334389	125.893	125.898
14	20	2022-03-04 23:07:09.356059	125.888	125.893
14	21	2022-03-04 23:07:19.406878	125.891	125.896
14	22	2022-03-04 23:07:29.441159	125.886	125.891
14	23	2022-03-04 23:07:39.374077	125.875	125.88
14	24	2022-03-04 23:07:49.294089	125.865	125.87
14	25	2022-03-04 23:07:59.325898	125.856	125.861
14	26	2022-03-04 23:08:09.381549	125.851	125.856
15	1	2022-03-04 23:17:34.103705	125.978	125.983
15	2	2022-03-04 23:17:44.113268	125.996	126.001
15	3	2022-03-04 23:17:54.112115	125.986	125.991
15	4	2022-03-04 23:18:04.065489	126.003	126.008
15	5	2022-03-04 23:18:14.102713	126.011	126.016
15	6	2022-03-04 23:18:24.139376	126.018	126.023
15	7	2022-03-04 23:18:34.107417	126.022	126.027
15	8	2022-03-04 23:18:44.111446	126.019	126.024
15	9	2022-03-04 23:18:54.104295	126.012	126.017
15	10	2022-03-04 23:19:04.103361	126.015	126.02
15	11	2022-03-04 23:19:14.100985	126.018	126.023
15	12	2022-03-04 23:19:24.036380	125.996	126.001
15	13	2022-03-04 23:19:34.132564	126.01	126.015
15	14	2022-03-04 23:19:44.020715	125.982	125.987
15	15	2022-03-04 23:19:54.110210	125.97	125.975
15	16	2022-03-04 23:20:04.061545	125.974	125.979
15	17	2022-03-04 23:20:14.076193	125.967	125.972
15	18	2022-03-04 23:20:24.078419	125.973	125.978
15	19	2022-03-04 23:20:34.016188	125.981	125.986
15	20	2022-03-04 23:20:44.200047	125.976	125.985
15	21	2022-03-04 23:20:54.050391	125.982	125.987
15	22	2022-03-04 23:21:04.095351	126.003	126.008
15	23	2022-03-04 23:21:14.047795	125.997	126.002
15	24	2022-03-04 23:21:24.098248	126.015	126.02
15	25	2022-03-04 23:21:34.074711	126.002	126.007
15	26	2022-03-04 23:21:44.223729	125.987	125.992
15	27	2022-03-04 23:21:54.049298	125.976	125.981
15	28	2022-03-04 23:22:04.061328	125.965	125.97
15	29	2022-03-04 23:22:14.344830	125.983	125.988
15	30	2022-03-04 23:22:24.034302	125.984	125.989
15	31	2022-03-04 23:22:34.113132	125.974	125.979
15	32	2022-03-04 23:22:44.180306	125.972	125.977
16	1	2022-03-04 23:30:47.146717	125.916	125.921
16	2	2022-03-04 23:30:57.079966	125.911	125.916
16	3	2022-03-04 23:31:07.077717	125.933	125.938
16	4	2022-03-04 23:31:17.075578	125.942	125.947
16	5	2022-03-04 23:31:27.295535	125.945	125.95
16	6	2022-03-04 23:31:37.079199	125.945	125.95
16	7	2022-03-04 23:31:47.091037	125.934	125.939
16	8	2022-03-04 23:31:57.090618	125.933	125.938
16	9	2022-03-04 23:32:07.078496	125.938	125.943
16	10	2022-03-04 23:32:17.045810	125.914	125.919
16	11	2022-03-04 23:32:27.065893	125.883	125.89
16	12	2022-03-04 23:32:37.073138	125.892	125.897
16	13	2022-03-04 23:32:47.104233	125.88	125.885
16	14	2022-03-04 23:32:57.067923	125.881	125.886
16	15	2022-03-04 23:33:07.136905	125.881	125.886
16	16	2022-03-04 23:33:16.993899	125.876	125.881
17	1	2022-03-04 23:43:19.253273	125.789	125.794
17	2	2022-03-04 23:43:29.278416	125.783	125.788
17	3	2022-03-04 23:43:39.316529	125.794	125.799
17	4	2022-03-04 23:43:49.314946	125.782	125.787
17	5	2022-03-04 23:43:59.312836	125.786	125.791
17	6	2022-03-04 23:44:09.383029	125.808	125.813
17	7	2022-03-04 23:44:19.287624	125.829	125.834
17	8	2022-03-04 23:44:29.289290	125.83	125.835
17	9	2022-03-04 23:44:39.281250	125.819	125.824
17	10	2022-03-04 23:44:49.295635	125.808	125.813
17	11	2022-03-04 23:44:59.292229	125.813	125.818
17	12	2022-03-04 23:45:09.177772	125.817	125.822
17	13	2022-03-04 23:45:19.268898	125.8	125.805
17	14	2022-03-04 23:45:29.208406	125.787	125.792
17	15	2022-03-04 23:45:39.335904	125.801	125.806
17	16	2022-03-04 23:45:49.263555	125.778	125.783
18	1	2022-03-04 23:50:19.747864	125.685	125.69
18	2	2022-03-04 23:50:29.711751	125.696	125.701
18	3	2022-03-04 23:50:39.748880	125.7	125.705
18	4	2022-03-04 23:50:49.802427	125.72	125.725
18	5	2022-03-04 23:50:59.786334	125.725	125.73
18	6	2022-03-04 23:51:09.759478	125.738	125.743
18	7	2022-03-04 23:51:19.782250	125.695	125.7
